Прізвище,Ім’я,По батькові,Стать,Дата народження,Посада,Місто проживання,Адреса проживання,Телефон,Email
Романчук,Богодар,Андрійович,Чоловіча,14-11-1994,Мірошник,хутір Перевальськ,"сквер Прорізна, буд. 3, Попасна, 78076",+380 (50) 632-52-90,vsyrotenko@example.net
Дурдинець,Нестор,Іванович,Чоловіча,12-12-1997,Редактор,хутір Київ,"сквер Ніли Крюкової, буд. 720, Докучаєвськ, 30251",+380 05 535-32-23,zakhar93@example.net
Перебийніс,Ірина,Дмитрівна,Жіноча,02-01-1946,Режисер,місто П'ятихатки,"сквер Подільська, буд. 2 кв. 8, Кам'янець-Подільський, 22143",+380 37 091 65 34,maksym67@example.org
Василенко,Демид,Андрійович,Чоловіча,15-11-1960,Диригент,селище Олешки,"проспект Флотський 4-й, буд. 2 кв. 933, Горлівка, 25535",+380 (54) 975-87-78,zakharskyrda@example.net
Дергач,Спас,Володимирович,Чоловіча,08-08-1981,Епідеміолог,селище Тернопіль,"проспект Львівський, буд. 5, Ічня, 05924",+380 (25) 648-12-71,feofan14@example.net
Лемешко,Аркадій,Петрович,Чоловіча,25-11-1983,Громадський діяч,село Гнівань,"шосе Заводська 4-та, буд. 98 кв. 3, Бахчисарай, 42833",+380 00 076 68 90,obalaban@example.org
Гаврилишин,Орхип,Євгенович,Чоловіча,14-02-1968,Патологоанатом,хутір Калинівка,"площа 5-та Лінія 6-й ст. Люстдорфської дороги, буд. 018, Виноградів, 22296",+380 67 169 39 35,dtsarenko@example.net
Іщенко,Ліза,Андріївна,Жіноча,20-07-2005,Пекар,місто Перечин,"шосе Халайджогло, буд. 433, Севастополь, 90020",+380 30 824-34-31,zoriandatsenko@example.net
Данилюк,Оксана,Миколаївна,Жіноча,14-11-1990,Кур'єр,місто Бахмач,"проспект Уральська, буд. 7, Новояворівськ, 16894",019 477 09 39,deisunirena@example.com
Ткаченко,Ольга,Євгенівна,Жіноча,07-02-1953,Гінеколог,селище Гайворон,"узвіз Роздольна, буд. 07, Дніпрорудне, 07214",835-38-09,gtsymbaliuk@example.com
Назаренко,Дарина,Володимирівна,Жіноча,09-08-1973,Підприємець,селище Багачеве,"сквер Дур'янівський, буд. 8 кв. 998, Конотоп, 78172",027 410 67 40,hlib44@example.com
Гузенко,Юстим,Миколайович,Чоловіча,14-02-1976,Круп'є,місто Старобільськ,"шосе Рабіна Іцхака, буд. 12, Оріхів, 03776",154 08 11,lutsenkoorkhyp@example.net
Годунок,Надія,Іванівна,Жіноча,06-05-1947,Електротехнік,село Турка,"сквер Аптекарський, буд. 7 кв. 28, Херсон, 18882",+380 62 373 36 43,nhavrylenko@example.com
Лазаренко,Марта,Юріївна,Жіноча,29-03-1963,Економіст,місто Одеса,"сквер Краснослобідський, буд. 582, Антрацит, 87396",536 79 86,mrudyk@example.com
Гаврилів,Кирило,Павлович,Чоловіча,09-10-1963,Пілот,село Хотин,"сквер Софіївська, буд. 9, Василівка, 27063",+380 81 115-17-74,mariiazasukha@example.net
Товстуха,Назар,Юрійович,Чоловіча,25-09-1954,Філолог,місто Богуслав,"шосе Князівська, буд. 500 кв. 34, Дубляни, 63413",004 634-08-43,parasiukroksolana@example.org
Андрійович,Данна,Василівна,Жіноча,25-01-1947,Фермер,селище Калуш,"провулок Гонтаренко, буд. 56 кв. 085, Андрушівка, 62006",058 062 55 22,foliinyk@example.net
Редько,Валерій,Володимирович,Чоловіча,31-03-1985,Соціолог,село Прилуки,"вулиця Деревообробний 2-й, буд. 29 кв. 41, Горішні Плавні, 93545",+380 15 395 13 69,danyloieroshenko@example.com
Вертипорох,Костянтин,Павлович,Чоловіча,18-01-1962,Ветеринар,село Верхівцеве,"набережна Чорноморський 12-й, буд. 431, Чортків, 20647",+380 (17) 619-40-15,qvanchenko@example.net
Бебешко,Богуслава,Юріївна,Жіноча,12-01-1955,Шериф,село Бориспіль,"провулок Ганса Германа, буд. 26, Лебедин, 44993",+380 (56) 149-45-96,veresavrelii@example.net
Дашкевич,Сніжана,Дмитрівна,Жіноча,30-06-1949,Композитор,село Судак,"парк Астрономічна, буд. 94 кв. 3, Калуш, 93089",084 290-84-66,heorhii56@example.com
Гупало,Еріка,Григорівна,Жіноча,30-01-1965,Провізор,село Зоринськ,"вулиця Проїзний 1-й, буд. 3 кв. 80, Обухів, 24768",+380 49 579-17-42,tychynaiarema@example.org
Кириленко,Любов,Тарасівна,Жіноча,22-11-1997,Будник,хутір Овруч,"узвіз Слов'янська, буд. 3, Петрово-Красносілля, 09212",622 36 24,bohdantymchenko@example.org
Данько,Сергій,Павлович,Чоловіча,20-08-1964,Електромонтер,селище Ходорів,"набережна Ганни Ахматової, буд. 821, Кам'янка (Черкаська область), 37479",598-96-28,stanislavnestaiko@example.net
Носаченко,Ярема,Борисович,Чоловіча,14-08-1954,Промисловець,селище Зміїв,"сквер Ізюмська, буд. 464, Горохів, 37828",+380 (20) 611-05-24,klavdiiasaienko@example.net
Корбут,Пантелеймон,Сергійович,Чоловіча,30-07-1942,Льотчик,село Ялта,"проспект Рози вітрів, буд. 0, Генічеськ, 69359",010 295 75 58,xadamenko@example.com
Христенко,Одарка,Павлівна,Жіноча,23-07-2004,Бібліотекар,селище Алупка,"вулиця Василя Капніста, буд. 7 кв. 8, Вараш, 87834",+380 51 838-19-58,snizhana07@example.org
Швачко,Ярослава,Андріївна,Жіноча,26-02-1990,Електротехнік,хутір Гнівань,"проспект Адольфа Лози, буд. 579 кв. 072, Тульчин, 04954",035 909-70-41,zarubaiakiv@example.org
Карпенко,Віталій,Дмитрович,Чоловіча,14-01-1995,Євнух,хутір Мелітополь,"площа Юннатів 1-й, буд. 188 кв. 337, Олександрія, 71341",056 643-66-11,andrii53@example.net
Чуйко,Феофан,Максимович,Чоловіча,05-10-1978,Медик,хутір Отаманівка,"сквер Людмили Гінзбург, буд. 288 кв. 2, Одеса, 41337",003 72 14,nbabii@example.net
Фесенко,Августин,Олександрович,Чоловіча,04-05-1964,Соціолог,селище Ананьїв,"провулок Польський узвіз, буд. 9 кв. 2, Путивль, 73944",+380 38 224-48-59,iarema07@example.net
Вівчаренко,Орина,Андріївна,Жіноча,12-02-1961,Гірничий інженер,хутір Тернопіль,"сквер Сергія Ядова, буд. 943, Подільськ, 20248",+380 34 149-33-50,demiankanivets@example.com
Чміль,Едуард,Павлович,Чоловіча,15-04-1995,Мінералог,хутір Ромни,"сквер Кавунова, буд. 116 кв. 29, Вараш, 23848",+380 (44) 882-95-07,okseniiaisaienko@example.com
Корсун,Алла,Тарасівна,Жіноча,07-07-2002,Штукатур,місто Надвірна,"проспект Заводська 2-га, буд. 90 кв. 2, Новоазовськ, 31285",024 846-23-42,dashenkoiaroslava@example.org
Андрійович,Леопольд,Степанович,Чоловіча,04-06-1959,Режисер,село Батурин,"площа Миколи Бажана, буд. 073 кв. 060, Фастів, 31326",+380 64 070 05 11,khomykmaryna@example.org
Дерегус,Орина,Юріївна,Жіноча,01-09-1962,Провізор,село Погребище,"шосе Бориса Кифоренка, буд. 75, Роздільна, 95981",075 779-46-83,panteleimon96@example.com
Каденюк,Тимофій,Павлович,Чоловіча,03-08-1955,Епідеміолог,хутір Херсон,"площа Батуринська, буд. 745, Болград, 44990",190 52 40,vasylopanasenko@example.org
Деревʼянко,Оксенія,Євгенівна,Жіноча,25-05-1983,Клоун,село Новомиргород,"площа Неплія, буд. 6 кв. 6, Бориспіль, 78414",638 30 00,galaganvolodymyr@example.com
Медведенко,Світлана,Петрівна,Жіноча,25-10-1996,Архітектор,місто Черкаси,"сквер Райдужна, буд. 6, Перевальськ, 68404",070 170 47 17,shcherbakpanteleimon@example.org
Вернидуб,Венедикт,Павлович,Чоловіча,28-07-1983,Антрополог,хутір Волноваха,"вулиця Каретний, буд. 3, Селидове, 74618",+380 (18) 807-49-90,iaremkoievhen@example.net
Сиротенко,Анастасія,Петрівна,Жіноча,19-01-1959,Дипломат,селище Новоазовськ,"сквер Радісний, буд. 7, Саки, 86058",+380 73 296-30-44,hodunokielysaveta@example.net
Даньків,Давид,Олегович,Чоловіча,14-02-2003,Продюсер,місто Сокаль,"проспект Лазурний 5-й, буд. 071, Долинська, 97945",013 810-47-26,qtryhub@example.com
Вернигора,Софія,Михайлівна,Жіноча,19-01-1964,Кінолог,хутір Жашків,"сквер Сабанський, буд. 173 кв. 468, Мала Виска, 37580",+380 66 726-10-10,ievtushenkoheorhii@example.org
Корпанюк,Мирон,Євгенович,Чоловіча,10-02-2007,Акушер,місто Запоріжжя,"вулиця Кортацці, буд. 90 кв. 334, Заліщики, 30043",368-02-70,somkokostiantyn@example.com
Харченко,Валентина,Олегівна,Жіноча,17-12-1991,Няня,селище Кам'янка-Бузька,"площа Каштанова, буд. 0 кв. 6, Зеленодольськ, 82164",+380 21 598-03-65,givanchenko@example.com
Дараган,Панас,Григорович,Чоловіча,16-03-2006,Хімік,селище Конотоп,"площа Мечникова, буд. 84 кв. 282, Білопілля, 26451",036 03 09,veniiamyn59@example.com
Лесик,Франц,Олександрович,Чоловіча,15-10-1960,Правник,місто Самбір,"шосе Розумовський 1-й, буд. 21, Амвросіївка, 59464",+380 45 055 06 36,kolisnychenkoborys@example.net
Франчук,Пріска,Миколаївна,Жіноча,20-12-1947,Патологоанатом,хутір Чернівці,"узвіз Опішнянський, буд. 7 кв. 187, Бахмут, 04532",048 513 70 15,ltovstolis@example.org
Пелех,Юстина,Борисівна,Жіноча,10-07-1980,Менеджер,селище Українськ,"шосе Івана Микитенка, буд. 76, Ківерці, 98102",+380 02 467-65-45,vasylyna18@example.com
Терещенко,Єлисей,Михайлович,Чоловіча,13-03-1964,Диригент,село Марганець,"сквер 16-та Лінія 6-й ст. Люстдорфської дороги, буд. 69 кв. 5, Хирів, 46654",574 22 10,sliusariaryna@example.net
Яремків,Тимофій,Петрович,Чоловіча,19-02-1952,Пекар,селище Вилкове,"вулиця Митракова, буд. 545 кв. 279, Очаків, 94420",007 486 10 58,herman69@example.net
Алексюк,Соломон,Сергійович,Чоловіча,02-08-1968,Кіноактор,селище Ужгород,"проспект Дніпропетровська дорога, буд. 7 кв. 2, Підгородне, 37091",+380 84 781 37 06,pavlykbohuslav@example.com
Цюцюра,Віра,Сергіївна,Жіноча,09-08-1979,Реставратор,селище Златопіль,"набережна Томатна, буд. 8, Очаків, 08120",+380 32 372 08 18,danyliukadam@example.net
Ґалаґан,Оксенія,Олександрівна,Жіноча,26-02-1962,Продюсер,селище Татарбунари,"площа Моторний 1-й, буд. 18 кв. 174, Вашківці, 89243",+380 (79) 661-70-94,iryna11@example.com
Колісниченко,Одарка,Петрівна,Жіноча,16-01-1969,Сценарист,селище Христинівка,"провулок Злакова, буд. 5 кв. 421, Полонне, 77523",004 553 85 74,qhuk@example.com
Батюк,Варвара,Романівна,Жіноча,27-04-1976,Археолог,село Мала Виска,"узвіз Морська, буд. 743, Андрушівка, 85094",038 595 88 39,fdanchuk@example.net
Бабко,Леонід,Максимович,Чоловіча,25-02-1963,Програміст,хутір Чорнобиль,"шосе Джерельна, буд. 01, Алчевськ, 14569",+380 68 625-15-80,tarasenkoamvrosii@example.net
Пушкар,Юстим,Олегович,Чоловіча,14-10-1957,Секретар,село Ірміно,"вулиця Східний 1-й, буд. 09 кв. 430, Христинівка, 86830",+380 09 856-50-49,oleh03@example.com
Чумак,Онисим,Григорович,Чоловіча,06-09-1997,Кінокритик,селище Південне,"парк Книжковий, буд. 217, Вільнянськ, 17838",288-21-93,nazarenkoeduard@example.net
Баклан,Марта,Іванівна,Жіноча,04-07-1998,Геолог,хутір Білопілля,"проспект Данила Крижанівського, буд. 77, Борзна, 31569",+380 23 870-01-77,forlyk@example.net
Карась,Орися,Олександрівна,Жіноча,19-02-1966,Ґрунтознавець,селище Рахів,"сквер Маршрутна, буд. 55 кв. 48, Корсунь-Шевченківський, 30465",048 794-54-16,mykytaiesypenko@example.com
Чабан,Марʼяна,Петрівна,Жіноча,16-04-1984,Астроном,хутір Алмазна,"площа Іподромний, буд. 316, Білгород-Дністровський, 70272",+380 98 274-14-94,eduard63@example.com
Єрьоменко,Микита,Володимирович,Чоловіча,08-04-1978,Письменник,місто Герца,"проспект Донецька, буд. 651 кв. 497, Сокиряни, 46004",+380 18 308 71 78,bohdanna81@example.net
Доценко,Христина,Сергіївна,Жіноча,04-02-1955,Антрополог,місто Тростянець,"проспект Незамаївська, буд. 6, Гірське, 32819",081 299-98-18,bohuslavishchak@example.net
Масоха,Прохір,Романович,Чоловіча,27-06-1973,Піаніст,хутір Ялта,"узвіз Десятого квітня, буд. 0 кв. 463, Приморськ, 64672",215 95 34,ybevz@example.com
Гузенко,Сергій,Дмитрович,Чоловіча,19-04-1947,Науковець,село Кіцмань,"площа Маріупольська, буд. 343 кв. 5, Старокостянтинів, 74854",+380 73 539 20 06,pprytula@example.org
Палій,Богданна,Василівна,Жіноча,29-04-2003,Футболіст,селище Хрестівка,"вулиця Водний, буд. 9, Алушта, 32600",042 492-22-86,iustymshvachka@example.net
Стус,Нестор,Іванович,Чоловіча,31-08-1973,Прокурор,селище Болехів,"провулок Хвойний, буд. 38 кв. 520, Сокиряни, 39726",278 52 93,fesenkoiustyna@example.com
Редько,Тетяна,Миколаївна,Жіноча,29-07-1940,Кушнір,місто Канів,"узвіз Ф. Пішеніна, буд. 4 кв. 257, П'ятихатки, 42457",045 762 38 58,eiemets@example.net
Чуйко,Юстина,Михайлівна,Жіноча,24-12-1963,Співак,місто Южноукраїнськ,"узвіз Спаський, буд. 0, Алмазна, 92213",023 285-12-76,makarenkoamaliia@example.com
Бандера,Мирослав,Миколайович,Чоловіча,24-12-1979,Музикознавець,село Коростишів,"набережна Академіка Богатського, буд. 9 кв. 2, Часів Яр, 12025",948-43-96,oleksandrvivcharenko@example.net
Носенко,Аврелій,Сергійович,Чоловіча,07-08-1984,Співак,місто Броди,"набережна 40-річчя оборони Одеси, буд. 581 кв. 212, Привілля, 32109",315 46 73,daryna17@example.net
Тимчук,Оксана,Степанівна,Жіноча,20-01-1993,Мінералог,селище Маріуполь,"парк Стеценко, буд. 69 кв. 394, Київ, 55760",074 193-37-41,maksym19@example.net
Саченко,Панас,Михайлович,Чоловіча,01-05-1944,Вчитель,село Донецьк,"площа Василя Кандинського 3-й, буд. 4 кв. 912, Борислав, 17253",809 79 37,volodymyraronets@example.com
Ребрик,Опанас,Андрійович,Чоловіча,29-04-1988,Паблік рилейшнз,село Лубни,"набережна Скляна, буд. 7 кв. 3, Ізяслав, 06220",+380 67 028-71-69,fruban@example.net
Ткач,Едита,Романівна,Жіноча,18-04-1965,Піаніст,селище Костянтинівка,"набережна Аптекарський, буд. 58, Мостиська, 98380",610 03 10,demianzhalilo@example.org
Жарко,Кирило,Дмитрович,Чоловіча,01-01-1940,Професор,село Самбір,"проспект Айвазовського, буд. 344, Долинська, 87403",782 35 22,borys62@example.org
Сірко,Святослава,Василівна,Жіноча,11-07-1987,Науковець,місто Олевськ,"узвіз Евлії Челебі, буд. 332, Бердянськ, 40419",+380 64 238-61-06,lakulenko@example.com
Ісаєнко,Олександр,Миколайович,Чоловіча,13-12-1974,Кур'єр,місто Мелітополь,"набережна Соляний 4-й, буд. 7 кв. 725, Петрово-Красносілля, 38173",067 104 69 40,baranetsbohuslava@example.org
Рудько,Миколай,Євгенович,Чоловіча,02-01-1983,Актор,місто Іловайськ,"набережна Артезіанська, буд. 17, Щолкіне, 79608",+380 (05) 732-03-73,myroniaremko@example.org
Алексійчук,Анастасія,Тарасівна,Жіноча,25-09-1948,Графік,місто Прип'ять,"парк Шовкуненка, буд. 6, Корюківка, 16485",070 369-96-81,zakharkabaliuk@example.org
Рябченко,Василина,Степанівна,Жіноча,19-02-1964,Філолог,місто Щастя,"сквер Ключовий 2-й, буд. 9, Отаманівка, 52490",834 97 42,korpaniuksofiia@example.org
Ємельяненко,Ярема,Олегович,Чоловіча,17-01-2003,Патологоанатом,хутір Буча,"площа Грузинська, буд. 2 кв. 430, Скалат, 26788",740 90 40,hrechkopylyp@example.org
Карась,Клавдія,Юріївна,Жіноча,01-11-1994,Кушнір,селище Іршава,"проспект Оранжерейний, буд. 45 кв. 640, Бахчисарай, 96368",076 588-02-11,valentyn25@example.com
Лагода,Анастасія,Євгенівна,Жіноча,04-03-2003,Реставратор,хутір Енергодар,"провулок Болградська, буд. 4 кв. 015, Нетішин, 90545",362-62-68,davyd08@example.com
Ярема,Євген,Тарасович,Чоловіча,09-09-1985,Маркетолог,хутір Авдіївка,"вулиця Старопортофранківська, буд. 7, Моспине, 90686",066 718 54 69,spasliashko@example.com
Сагаль,Лукʼян,Борисович,Чоловіча,23-07-1958,Петрограф,селище Хрустальний,"площа Отамана Чепіги, буд. 378 кв. 8, Хуст, 44683",+380 46 308 39 80,ishevchenko@example.com
Радченко,Ярема,Миколайович,Чоловіча,20-01-1942,Фотограф,селище Сновськ,"сквер Сергія Ейзенштейна, буд. 86 кв. 250, Суми, 85246",+380 77 412-35-60,oleh89@example.com
Авдєєнко,Святослав,Григорович,Чоловіча,16-10-2003,Ботанік,село Жовті Води,"площа Східчастий 4-й, буд. 5 кв. 5, Гадяч, 39039",+380 50 072-40-65,iakiv66@example.com
Гупало,Святослава,Тарасівна,Жіноча,25-02-1977,Диригент,місто Болград,"площа В'ячеслава Липинського, буд. 22, Рогатин, 29799",+380 (24) 530-27-79,kalchenkovira@example.org
Франчук,Аліна,Володимирівна,Жіноча,13-01-1957,Нотаріус,селище Залізне,"парк 15-та ст. Великого Фонтану пляж, буд. 21 кв. 64, Кагарлик, 20823",+380 57 079 56 80,milena43@example.com
Ящук,Гаврило,Максимович,Чоловіча,13-09-1995,Продюсер,село Лебедин,"шосе Колекційна, буд. 44, Довжанськ, 04980",862-94-23,stepanbhydenko@example.org
Шовкопляс,Ігнат,Степанович,Чоловіча,28-11-1996,Співак,хутір Глобине,"шосе Степний 2-й, буд. 32 кв. 7, Феодосія, 38176",+380 07 653 86 49,shylooksana@example.org
Рудик,Лесь,Володимирович,Чоловіча,25-08-1991,Стропальник,хутір Старобільськ,"сквер Шампанський, буд. 63, Чугуїв, 89679",004 447 63 63,violettaskyrda@example.com
Шеремета,Данна,Миколаївна,Жіноча,14-05-1955,Перекладач,хутір Вилкове,"набережна Куниці, буд. 85 кв. 58, Долинська, 34336",903 14 53,klymentartiukh@example.net
Шамрай,Ігнат,Іванович,Чоловіча,09-08-2004,Бібліотекар,хутір Волочиськ,"вулиця Чорноморський 12-й, буд. 031, Новояворівськ, 61245",056 476 16 30,havryshkevychpanteleimon@example.com
Авдєєнко,Оксана,Максимівна,Жіноча,22-07-1948,Електромонтажник,хутір Часів Яр,"набережна Мирослава Скорика, буд. 0 кв. 9, Борзна, 41030",+380 00 550-52-95,mykytachekaliuk@example.com
Бандера,Назар,Тарасович,Чоловіча,13-06-1967,Випробувач,хутір Апостолове,"парк Путьова, буд. 912, Городенка, 88363",+380 93 623-19-66,erikaverkhola@example.org
Андріїшин,Гордій,Олегович,Чоловіча,19-04-1962,Дантист,місто Білозерське,"парк Кустанайська, буд. 793 кв. 371, Торецьк, 23707",797 11 71,oleksandrchalenko@example.net
Чубай,Марія,Павлівна,Жіноча,21-09-1998,Інженер,місто Помічна,"площа Золотий берег, буд. 70 кв. 810, Нове Давидково, 20110",457 36 81,smyksviatoslav@example.org
Рябченко,Вікторія,Андріївна,Жіноча,10-02-1982,Хореограф,село Зміїв,"шосе Хімічний 1-й, буд. 968 кв. 7, Дубно, 57136",047 45 85,baidakmakar@example.net
Єрошенко,Юстина,Степанівна,Жіноча,10-06-1947,Бізнесмен,хутір Богодухів,"парк Ігоря Кисельова, буд. 630, Борислав, 96657",067 247-64-35,lukashiustyna@example.net
Скорик,Михайло,Дмитрович,Чоловіча,27-03-1989,Піаніст,хутір Амвросіївка,"парк Бузковий 1-й, буд. 971, Золоте, 71351",+380 (84) 251-76-17,khomaoliinyk@example.org
Медведенко,Адам,Юрійович,Чоловіча,23-04-2005,Державний службовець,селище Баштанка,"площа Ювілейний 2-й, буд. 7, Авдіївка, 88936",552 79 80,azarsych@example.com
Гузій,Давид,Романович,Чоловіча,20-02-1965,Бізнесмен,селище Суходільськ,"проспект Каретний, буд. 152 кв. 5, Соледар, 74867",+380 77 851-90-48,nbabko@example.net
Андрощук,Олекса,Романович,Чоловіча,16-10-1955,Хореограф,місто Винники,"площа Проектований 4-й, буд. 08 кв. 45, Багачеве, 01540",004 878-53-55,olha51@example.com
Вдовенко,Соломон,Олегович,Чоловіча,15-04-2008,Геофізик,селище Одеса,"провулок Станційна 3-тя, буд. 6, Ланівці, 93401",+380 19 151-12-41,arsen99@example.net
Шведченко,Венедикт,Євгенович,Чоловіча,28-07-2009,Бухгалтер,місто Біла Церква,"шосе Саймона Літмана, буд. 3, Здолбунів, 13263",+380 79 676 64 47,ckylymnyk@example.org
Скопенко,Богуслава,Іванівна,Жіноча,01-06-1987,Режисер,хутір Узин,"сквер Архітектурна, буд. 8 кв. 7, Золотоноша, 41504",+380 (37) 913-40-18,dmytrobalaban@example.org
Авраменко,Єфрем,Павлович,Чоловіча,04-02-1949,Фармацевт,селище Берегове,"парк Студентський 2-й, буд. 4 кв. 71, Нове Давидково, 21015",980-73-47,poltavetstetiana@example.org
Масоха,Олена,Володимирівна,Жіноча,21-11-1989,Громадський діяч,селище Зоринськ,"провулок Кредитний, буд. 4 кв. 63, Ладижин, 80455",+380 45 122-49-77,pylypenkoiakiv@example.org
Петлюра,Максим,Григорович,Чоловіча,18-07-1939,Лікар,селище Отаманівка,"вулиця Матроський, буд. 53, Фастів, 92691",+380 84 473 59 81,mariia61@example.com
Христич,Дмитро,Миколайович,Чоловіча,23-04-2005,Ріелтор,селище Севастополь,"вулиця Грецька, буд. 4 кв. 26, Золотоноша, 22138",020 70 45,shvedchenkokhrystyna@example.org
Лубенець,Йосип,Євгенович,Чоловіча,03-11-1997,М'ясник,місто Вараш,"шосе Садова 5-та, буд. 68 кв. 4, Новоселиця, 06919",+380 (04) 549-21-43,vasylatroshchenko@example.com
Рак,Аарон,Максимович,Чоловіча,13-11-1958,Гицель,місто Чуднів,"сквер Карантинний узвіз, буд. 248, Жовква, 57896",+380 (39) 551-68-37,volodymyra74@example.org
Ребрик,Маруся,Володимирівна,Жіноча,25-04-1951,Зоолог,місто Звенигородка,"узвіз Різовська, буд. 02 кв. 4, Куп'янськ, 31508",642 71 22,andriienkovira@example.com
Приходько,Аарон,Максимович,Чоловіча,26-02-1999,Флорист,місто Кодима,"парк Шептицького, буд. 6 кв. 8, Вознесенськ, 25895",+380 80 678-38-76,omelianarkhymovych@example.org
Рудик,Йосип,Михайлович,Чоловіча,05-05-1955,Паблік рилейшнз,хутір Дрогобич,"шосе Херсонський сквер, буд. 268 кв. 13, Перевальськ, 08026",+380 (12) 181-39-61,khrystynaiemelianenko@example.org
Ейбоженко,Аліна,Тарасівна,Жіноча,28-08-2004,Мірошник,селище Заводське,"узвіз Джерельна, буд. 23, Радомишль, 94739",+380 (05) 096-20-78,babakhanna@example.com
Ященко,Августин,Олександрович,Чоловіча,26-01-1966,Маркетолог,хутір Барвінкове,"узвіз Маловського, буд. 6, Алчевськ, 05070",526-07-69,usykhanna@example.net
Гаврилюк,Альбіна,Борисівна,Жіноча,20-01-1943,Стропальник,селище Гірник,"набережна Аграрна, буд. 30 кв. 355, Бахмач, 05383",280-69-35,vakarchukavhustyn@example.org
Єременко,Стефан,Володимирович,Чоловіча,06-04-1963,Географ,місто Волочиськ,"проспект Рекордний, буд. 3 кв. 33, Довжанськ, 25467",+380 30 556 16 38,lukianradchenko@example.org
Макаренко,Ярослава,Григорівна,Жіноча,04-10-1992,Музикант,хутір Кілія,"парк 3-тя Лінія 4-ї ст. Люстдорфської дороги, буд. 27 кв. 86, Хмільник, 31324",+380 (60) 499-99-83,mykhailyna29@example.net
Свириденко,Адам,Дмитрович,Чоловіча,02-10-1986,Круп'є,місто Тетіїв,"вулиця Бахчисарайська, буд. 8, Сватове, 79000",087 68 45,leontii39@example.net
Короленко,Юстим,Іванович,Чоловіча,12-03-1953,Медик,село Арциз,"вулиця Селищний, буд. 7 кв. 735, Часів Яр, 98137",+380 (85) 317-55-61,oasaula@example.com
Василенко,Камілла,Володимирівна,Жіноча,05-01-1944,Драматург,селище Зміїв,"провулок Сортувальна 2-га, буд. 786, Підгородне, 77496",+380 03 398-29-73,akomar@example.org
Нестеренко,Роман,Олегович,Чоловіча,14-09-1959,Соціолог,місто Василівка,"провулок Ф. Пішеніна, буд. 677 кв. 312, Сіверськодонецьк, 15849",467-02-30,iashchenkooleksandr@example.org
Василашко,Ілля,Васильович,Чоловіча,12-08-1952,Менеджер,селище Миргород,"узвіз Західний 2-й, буд. 19 кв. 33, Сокологірськ, 07507",+380 92 907-05-86,marko30@example.com
Габелко,Захар,Миколайович,Чоловіча,15-11-1974,Психолог,село Євпаторія,"вулиця Миколи Пильчикова, буд. 1, Баранівка, 93360",+380 19 636-61-96,vladyslavnalyvaiko@example.net
Ященко,Артем,Юрійович,Чоловіча,12-07-2000,Антрополог,село Овруч,"провулок Слави, буд. 88, Христинівка, 43060",+380 03 330 65 59,shakhraipanteleimon@example.net
Гайдай,Вікторія,Володимирівна,Жіноча,06-12-1986,Золотар,село Черкаси,"узвіз Аеропортівський 3-й, буд. 6 кв. 312, Глухів, 88825",+380 90 877-84-39,iermolenkoleonid@example.net
Засенко,Гліб,Дмитрович,Чоловіча,01-10-1940,Золотар,селище Кіцмань,"сквер Лінійний, буд. 4, Нетішин, 47675",+380 76 084-22-51,velychkoielysaveta@example.com
Франко,Устим,Андрійович,Чоловіча,23-05-1979,Астрофізик,село Костянтинівка,"вулиця Юннатів 1-й, буд. 1, Богодухів, 10427",+380 01 202-20-25,rzasiadko@example.com
Кальченко,Адам,Павлович,Чоловіча,18-04-1993,Журналіст,село Сарни,"сквер Радіо, буд. 632 кв. 6, Суми, 41299",+380 12 359-85-32,mykhailychenkonataliia@example.com
Вакуленко,Ада,Романівна,Жіноча,27-05-1947,Мовознавець,місто Хутір-Михайлівський,"узвіз Соляний 1-й, буд. 1 кв. 57, Ужгород, 75769",+380 (57) 542-84-42,ezhurba@example.org
Павличенко,Омелян,Борисович,Чоловіча,21-10-1976,Кінорежисер,село Могилів-Подільський,"узвіз Рожева, буд. 53 кв. 353, Лисичанськ, 58098",291 29 78,irynaprytula@example.com
Мірошниченко,Валентина,Петрівна,Жіноча,29-10-1971,Візажист,хутір Зоринськ,"сквер Ялинковий, буд. 94, Надвірна, 60679",+380 51 387-53-36,arkhypenkookhrim@example.org
Бакуменко,Єлисавета,Дмитрівна,Жіноча,20-03-1950,Професор,місто Прилуки,"парк Рекордний, буд. 9 кв. 087, Амвросіївка, 38105",008 524-30-70,violettahupalo@example.com
Артимович,Демид,Володимирович,Чоловіча,17-12-1942,Громадський діяч,місто Сіверськодонецьк,"сквер Гоголя, буд. 4 кв. 939, Подільськ, 40904",048 961 17 57,mdankevych@example.com
Ващенко,Алевтин,Андрійович,Чоловіча,09-05-2001,Педагог,селище Чугуїв,"сквер Карпенка-Карого, буд. 32 кв. 788, Рогатин, 14228",+380 17 863-68-21,iatseniukihor@example.org
Приходько,Вікторія,Тарасівна,Жіноча,22-01-1992,Хореограф,село Ізяслав,"площа Амбулаторний 2-й, буд. 128, Суходільськ, 09313",+380 (45) 783-79-35,lzinchenko@example.org
Василашко,Юстина,Тарасівна,Жіноча,04-11-2007,Адвокат,хутір Барвінкове,"шосе Світла, буд. 42 кв. 79, Монастириська, 62191",505-85-94,semenandriiovych@example.org
